
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.19002
 no. blades :  3            radius(m)  :   0.1016     adv. ratio:     0.16284
 thrust(N)  :   4.30        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.7270       speed(m/s) :   20.000     rpm        :  11544.000
 Eff induced:  0.8570       Eff ideal  :   0.8923     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0003    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0698    Pvisc(W)   :   16.3       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.51157      adv:    0.16284       AF:   51.212
   Ct:    0.05563       Cp:    0.03914  (by rho,Diam,N)
   Tc:    0.54127       Pc:    0.74450  (by rho,Atip,Vel)
   CT:    0.00718       CP:    0.00161  (by rho,Atip,Vtip)
Sigma:    0.07533 CT/sigma:    0.09526

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0496  78.65  0.600   0.0578   7.15  0.061  0.788 0.539   0.000  0.5743
  2 0.083 0.0915  67.29  0.600   0.0438  14.33  0.066  0.839 0.806   0.000  0.5288
  3 0.133 0.1292  55.79  0.600   0.0360  23.27  0.076  0.850 0.877   0.000  0.4643
  4 0.184 0.1473  46.68  0.600   0.0321  30.99  0.088  0.854 0.898   0.000  0.3825
  5 0.235 0.1517  39.72  0.600   0.0299  37.14  0.103  0.855 0.904   0.000  0.3088
  6 0.285 0.1489  34.41  0.600   0.0285  41.89  0.118  0.856 0.904   0.000  0.2495
  7 0.335 0.1426  30.30  0.600   0.0276  45.52  0.134  0.856 0.901   0.000  0.2036
  8 0.383 0.1351  27.06  0.600   0.0269  48.27  0.150  0.856 0.897   0.000  0.1683
  9 0.431 0.1273  24.47  0.600   0.0265  50.32  0.166  0.856 0.891   0.000  0.1410
 10 0.477 0.1197  22.37  0.600   0.0262  51.83  0.182  0.856 0.886   0.000  0.1197
 11 0.523 0.1125  20.63  0.600   0.0260  52.88  0.198  0.857 0.880   0.000  0.1028
 12 0.567 0.1058  19.19  0.600   0.0258  53.55  0.213  0.857 0.873   0.000  0.0891
 13 0.609 0.0995  17.97  0.600   0.0258  53.86  0.227  0.857 0.867   0.000  0.0780
 14 0.649 0.0936  16.93  0.600   0.0258  53.83  0.242  0.857 0.861   0.000  0.0688
 15 0.688 0.0880  16.04  0.600   0.0258  53.46  0.255  0.857 0.855   0.000  0.0610
 16 0.725 0.0826  15.28  0.600   0.0260  52.73  0.268  0.857 0.848   0.000  0.0544
 17 0.760 0.0773  14.61  0.600   0.0262  51.64  0.281  0.857 0.842   0.000  0.0485
 18 0.793 0.0721  14.04  0.600   0.0265  50.15  0.292  0.857 0.835   0.000  0.0434
 19 0.824 0.0669  13.54  0.600   0.0269  48.24  0.303  0.857 0.828   0.000  0.0387
 20 0.852 0.0616  13.11  0.600   0.0275  45.92  0.313  0.857 0.821   0.000  0.0345
 21 0.879 0.0562  12.74  0.600   0.0282  43.16  0.323  0.857 0.813   0.000  0.0306
 22 0.902 0.0508  12.41  0.600   0.0290  39.98  0.331  0.857 0.805   0.000  0.0269
 23 0.924 0.0452  12.14  0.600   0.0301  36.40  0.339  0.857 0.795   0.000  0.0234
 24 0.942 0.0395  11.90  0.600   0.0316  32.45  0.345  0.857 0.785   0.000  0.0200
 25 0.959 0.0337  11.71  0.600   0.0334  28.16  0.351  0.857 0.772   0.000  0.0168
 26 0.972 0.0279  11.55  0.600   0.0358  23.60  0.356  0.857 0.757   0.000  0.0137
 27 0.983 0.0220  11.42  0.600   0.0392  18.82  0.360  0.857 0.738   0.000  0.0107
 28 0.991 0.0162  11.33  0.600   0.0442  13.94  0.363  0.857 0.712   0.000  0.0078
 29 0.997 0.0106  11.27  0.600   0.0523   9.17  0.365  0.857 0.675   0.000  0.0051
 30 0.999 0.0062  11.24  0.600   0.0648   5.36  0.366  0.857 0.625   0.000  0.0029
